county,week,week number,Face Shields (Disposable),Surgical Masks,Cloth Masks,Surgical or Examination Gowns,Examination Gloves,N-95 Respirators,Hand Sanitizers,Wipes,Other / None of the above,Cleaning Supplies,Swabs,Viral Testing Media,Pharmaceuticals,Shoe Covers,Test Kits,KN95 Respirators,Coveralls (Hospitals or EMS),Medical Equipment,Goggles,Lab Supplies,Beds/Cots,Body Bags,Lab Kit,Ventilators,Personnel,Sample Collecting Kits,Lab Platform,Bedding Accessories,Fit Testing Supplies,old week number
['Trinity'],2020-06-10 to 2020-06-16,1,[26460.0],[234360.0],[38500.0],[28098.0],[238000.0],[161164.0],[1512.0],[0.0],[18200.0],[0.0],[28707.0],[20650.0],[0.0],[0.0],[0.0],[0.0],[126.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[5950.0],[0.0],[0.0],[0.0],
['Sacramento'],2020-06-10 to 2020-06-16,1,[890928.0],[14515000.0],[1488000.0],[495890.0],[2563920.0],[4058405.0],[590708.0],[0.0],[32065.0],[2814.0],[203000.0],[196098.0],[10017.0],[2100.0],[0.0],[316120.0],[17500.0],[420.0],[83300.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[103500.0],[0.0],[0.0],[0.0],
['San Benito'],2020-06-10 to 2020-06-16,1,[1000.0],[1091000.0],[0.0],[32620.0],[420000.0],[1102990.0],[5348.0],[0.0],[180.0],[0.0],[35000.0],[5600.0],[56.0],[0.0],[0.0],[56280.0],[875.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Yuba'],2020-06-10 to 2020-06-16,1,[5180.0],[1330000.0],[17500.0],[34706.0],[315000.0],[52640.0],[77294.0],[0.0],[54824.0],[0.0],[14014.0],[20300.0],[105.0],[0.0],[2800.0],[0.0],[476.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],
['Ventura'],2020-06-10 to 2020-06-16,1,[875820.0],[20413000.0],[106660.0],[891590.0],[1757000.0],[9111180.0],[62605.0],[0.0],[12546.0],[0.0],[270000.0],[136336.0],[2590.0],[0.0],[0.0],[259000.0],[0.0],[0.0],[46900.0],[0.0],[336.0],[0.0],[0.0],[0.0],[0.0],[65800.0],[0.0],[0.0],[0.0],
['Sonoma'],2020-06-10 to 2020-06-16,1,[241888.0],[1741000.0],[1236000.0],[168420.0],[1531700.0],[3114160.0],[69056.0],[7056.0],[1142722.0],[0.0],[284000.0],[156554.0],[518.0],[0.0],[0.0],[79380.0],[97200.0],[0.0],[76300.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[0.0],
['San Joaquin'],2020-06-10 to 2020-06-16,1,[415360.0],[2763090.0],[47500.0],[538184.0],[4123760.0],[1066078.0],[182930.0],[5880.0],[324180.0],[0.0],[319035.0],[226300.0],[1689.0],[2100.0],[67900.0],[176120.0],[30835.0],[0.0],[14700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[36400.0],[0.0],[0.0],[0.0],
['Alameda'],2020-06-10 to 2020-06-16,1,[826660.0],[6333000.0],[608160.0],[411478.0],[3711200.0],[8143920.0],[1046226.0],[0.0],[80490.0],[0.0],[1057600.0],[502502.0],[8176.0],[0.0],[35000.0],[148400.0],[29274.0],[700.0],[91000.0],[305200.0],[0.0],[0.0],[0.0],[70.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Monterey'],2020-06-10 to 2020-06-16,1,[207880.0],[7561536.0],[15500.0],[162890.0],[4777920.0],[1131620.0],[178780.0],[0.0],[110600.0],[0.0],[271000.0],[147810.0],[924.0],[32200.0],[0.0],[235060.0],[58513.0],[0.0],[59500.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Solano'],2020-06-10 to 2020-06-16,1,[219318.0],[476000.0],[24000.0],[312396.0],[1000520.0],[1152880.0],[33100.0],[0.0],[71024.0],[0.0],[213700.0],[35042.0],[1533.0],[0.0],[0.0],[0.0],[33250.0],[0.0],[0.0],[41800.0],[0.0],[0.0],[17500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['San Francisco'],2020-06-10 to 2020-06-16,1,[1447300.0],[21733000.0],[448000.0],[237852.0],[1540000.0],[10932940.0],[118566.0],[0.0],[74502.0],[6720.0],[315935.0],[297056.0],[3598.0],[0.0],[0.0],[735280.0],[18060.0],[420.0],[85820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[11200.0],[0.0],[0.0],[0.0],
['Stanislaus'],2020-06-10 to 2020-06-16,1,[282800.0],[1424000.0],[0.0],[373000.0],[1904000.0],[2048172.0],[47513.0],[7056.0],[9004.0],[84.0],[370300.0],[229600.0],[102900.0],[0.0],[0.0],[140560.0],[53228.0],[0.0],[7000.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Orange'],2020-06-10 to 2020-06-16,1,[1378108.0],[9651520.0],[82000.0],[1661898.0],[8509480.0],[14530698.0],[731383.0],[0.0],[368888.0],[7056.0],[1282000.0],[719460.0],[26628.0],[2100.0],[77350.0],[684320.0],[1050.0],[9660.0],[380940.0],[0.0],[16100.0],[10500.0],[0.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],
['Nevada'],2020-06-10 to 2020-06-16,1,[0.0],[329000.0],[0.0],[63784.0],[495600.0],[722120.0],[19250.0],[0.0],[21980.0],[0.0],[57400.0],[32284.0],[42.0],[0.0],[0.0],[44100.0],[2800.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['San Luis Obispo'],2020-06-10 to 2020-06-16,1,[75560.0],[4001200.0],[526000.0],[42420.0],[2416800.0],[1318800.0],[124366.0],[0.0],[9555.0],[0.0],[21021.0],[0.0],[168.0],[0.0],[0.0],[0.0],[700.0],[0.0],[4200.0],[36400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Lassen'],2020-06-10 to 2020-06-16,1,[14784.0],[1619000.0],[0.0],[23870.0],[21000.0],[54600.0],[1120.0],[0.0],[0.0],[0.0],[35035.0],[35280.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Imperial'],2020-06-10 to 2020-06-16,1,[466360.0],[5374500.0],[306000.0],[637932.0],[1306580.0],[3304960.0],[115496.0],[0.0],[199388.0],[0.0],[182000.0],[101556.0],[6783.0],[0.0],[0.0],[106680.0],[296235.0],[0.0],[42000.0],[0.0],[0.0],[3500.0],[0.0],[56.0],[169.0],[0.0],[0.0],[0.0],[0.0],
['San Bernardino'],2020-06-10 to 2020-06-16,1,[281380.0],[6216000.0],[2109200.0],[380744.0],[2240000.0],[4779718.0],[95252.0],[0.0],[24358.0],[0.0],[180000.0],[144242.0],[13853.0],[5250.0],[47700.0],[175000.0],[14875.0],[17500.0],[33040.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Santa Clara'],2020-06-10 to 2020-06-16,1,[12550500.0],[20005250.0],[127000.0],[3636780.0],[14613200.0],[34492920.0],[875711.0],[0.0],[352302.0],[0.0],[718200.0],[705726.0],[89887.0],[0.0],[0.0],[70560.0],[446264.0],[420.0],[26600.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['San Diego'],2020-06-10 to 2020-06-16,1,[1439616.0],[20900000.0],[1899000.0],[3434988.0],[7756736.0],[5931990.0],[1710953.0],[168.0],[338782.0],[0.0],[1050000.0],[500920.0],[30856.0],[0.0],[140000.0],[0.0],[77364.0],[0.0],[117600.0],[70000.0],[0.0],[3500.0],[0.0],[210.0],[140.0],[159600.0],[0.0],[0.0],[0.0],
['Humboldt'],2020-06-10 to 2020-06-16,1,[80700.0],[8552000.0],[84000.0],[36100.0],[305000.0],[1350640.0],[46792.0],[0.0],[101237.0],[0.0],[120400.0],[56434.0],[0.0],[5250.0],[0.0],[0.0],[0.0],[29526.0],[10500.0],[0.0],[1456.0],[0.0],[0.0],[35.0],[0.0],[21700.0],[0.0],[0.0],[0.0],
['Tulare'],2020-06-10 to 2020-06-16,1,[908922.0],[5458000.0],[11000.0],[562624.0],[2491000.0],[2058862.0],[72482.0],[0.0],[133697.0],[0.0],[196700.0],[153412.0],[3759.0],[1050.0],[0.0],[350000.0],[12775.0],[7098.0],[23380.0],[0.0],[4200.0],[3150.0],[0.0],[28.0],[399.0],[0.0],[0.0],[0.0],[0.0],
['Los Angeles'],2020-06-10 to 2020-06-16,1,[6020602.0],[120065900.0],[1237840.0],[13684362.0],[29195920.0],[84920560.0],[3286410.0],[53872.0],[496552.0],[2800.0],[3393550.0],[2253916.0],[168637.0],[9100.0],[0.0],[637840.0],[140609.0],[301.0],[59850.0],[0.0],[0.0],[0.0],[0.0],[140.0],[133.0],[70000.0],[0.0],[0.0],[0.0],
['Mendocino'],2020-06-10 to 2020-06-16,1,[52400.0],[777000.0],[319500.0],[159600.0],[0.0],[355000.0],[34302.0],[0.0],[0.0],[0.0],[45200.0],[7056.0],[427.0],[0.0],[0.0],[0.0],[0.0],[0.0],[19600.0],[10500.0],[301.0],[0.0],[0.0],[0.0],[7.0],[936.0],[0.0],[0.0],[0.0],
['Kings'],2020-06-10 to 2020-06-16,1,[51492.0],[1673000.0],[0.0],[345674.0],[636720.0],[608440.0],[294854.0],[0.0],[329560.0],[0.0],[134421.0],[116256.0],[2219.0],[7000.0],[46900.0],[70000.0],[0.0],[0.0],[385.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[52000.0],[0.0],[0.0],[0.0],
['Madera'],2020-06-10 to 2020-06-16,1,[112000.0],[2450000.0],[3500.0],[7000.0],[0.0],[0.0],[754376.0],[0.0],[451500.0],[0.0],[140000.0],[54012.0],[54.0],[0.0],[0.0],[17640.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Contra Costa'],2020-06-10 to 2020-06-16,1,[140268.0],[1228800.0],[36000.0],[1834472.0],[577300.0],[8242510.0],[992640.0],[12880.0],[60862.0],[3570.0],[894100.0],[487684.0],[1582.0],[14000.0],[2450.0],[1235640.0],[24900.0],[0.0],[35000.0],[0.0],[0.0],[0.0],[0.0],[175.0],[0.0],[28700.0],[0.0],[0.0],[0.0],
['Siskiyou'],2020-06-10 to 2020-06-16,1,[700.0],[1407000.0],[112000.0],[39004.0],[770000.0],[960.0],[7392.0],[0.0],[0.0],[0.0],[91007.0],[7350.0],[98.0],[0.0],[119000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[56000.0],[0.0],[0.0],[0.0],
['Inyo'],2020-06-10 to 2020-06-16,1,[79600.0],[850000.0],[452000.0],[14924.0],[245000.0],[444920.0],[12488.0],[0.0],[3676.0],[756.0],[46200.0],[350.0],[100800.0],[0.0],[0.0],[0.0],[4487.0],[10458.0],[2100.0],[0.0],[364.0],[700.0],[0.0],[70.0],[0.0],[350.0],[0.0],[0.0],[0.0],
['San Mateo'],2020-06-10 to 2020-06-16,1,[649380.0],[8252000.0],[72160.0],[205940.0],[2372800.0],[606760.0],[17896.0],[0.0],[236538.0],[7056.0],[532350.0],[263732.0],[4046.0],[0.0],[76300.0],[2114630.0],[0.0],[420.0],[66500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[0.0],
['Calaveras'],2020-06-10 to 2020-06-16,1,[5110.0],[0.0],[35000.0],[42700.0],[270200.0],[157864.0],[14560.0],[0.0],[106400.0],[0.0],[42007.0],[39200.0],[51.0],[0.0],[0.0],[36680.0],[0.0],[700.0],[3500.0],[35000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[350.0],[0.0],[0.0],[0.0],
['Santa Cruz'],2020-06-10 to 2020-06-16,1,[80920.0],[5859000.0],[12000.0],[432950.0],[2717400.0],[1530305.0],[4448.0],[0.0],[840.0],[0.0],[246400.0],[165200.0],[182.0],[0.0],[0.0],[78820.0],[2800.0],[0.0],[26880.0],[71652.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Yolo'],2020-06-10 to 2020-06-16,1,[117460.0],[2816000.0],[1783040.0],[197946.0],[3025680.0],[651420.0],[35035.0],[0.0],[1092.0],[0.0],[37000.0],[7000.0],[12.0],[0.0],[0.0],[201740.0],[28063.0],[0.0],[6300.0],[6048.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Marin'],2020-06-10 to 2020-06-16,1,[704616.0],[552000.0],[12000.0],[645540.0],[1104000.0],[328300.0],[174.0],[0.0],[420880.0],[0.0],[161000.0],[33600.0],[280.0],[0.0],[0.0],[17640.0],[10976.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[120050.0],[0.0],[0.0],[0.0],
['Riverside'],2020-06-10 to 2020-06-16,1,[61656.0],[25099000.0],[495000.0],[252350.0],[16095940.0],[6687960.0],[185277.0],[0.0],[171670.0],[1680.0],[21000.0],[277298.0],[19341.0],[10500.0],[3500.0],[451020.0],[56350.0],[17850.0],[112000.0],[922600.0],[0.0],[3500.0],[0.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],
['Colusa'],2020-06-10 to 2020-06-16,1,[27888.0],[2184000.0],[45500.0],[9142.0],[28000.0],[48440.0],[26523.0],[0.0],[0.0],[0.0],[35000.0],[33600.0],[0.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[11200.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[350.0],[0.0],[0.0],[0.0],
['Shasta'],2020-06-10 to 2020-06-16,1,[30520.0],[737700.0],[44000.0],[24164.0],[308000.0],[77924.0],[66100.0],[0.0],[35258.0],[0.0],[72100.0],[32256.0],[0.0],[0.0],[0.0],[0.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Alpine'],2020-06-10 to 2020-06-16,1,[1700.0],[10000.0],[0.0],[350.0],[3360.0],[1400.0],[4470.0],[0.0],[180.0],[0.0],[0.0],[0.0],[0.0],[0.0],[7000.0],[8820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],
['Lake'],2020-06-10 to 2020-06-16,1,[24500.0],[3635000.0],[84000.0],[23352.0],[887600.0],[395640.0],[9842.0],[0.0],[0.0],[0.0],[35700.0],[34300.0],[30.0],[2800.0],[4200.0],[17640.0],[0.0],[0.0],[14000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Fresno'],2020-06-10 to 2020-06-16,1,[867700.0],[7246000.0],[423500.0],[757960.0],[3963960.0],[2497760.0],[305951.0],[0.0],[102620.0],[0.0],[421400.0],[298900.0],[6503.0],[3150.0],[0.0],[0.0],[8960.0],[280.0],[40600.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[10500.0],[0.0],[0.0],[0.0],
['Amador'],2020-06-10 to 2020-06-16,1,[54376.0],[770000.0],[70000.0],[26950.0],[259000.0],[272160.0],[35280.0],[0.0],[700.0],[210.0],[35007.0],[19600.0],[0.0],[0.0],[0.0],[44100.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Tuolumne'],2020-06-10 to 2020-06-16,1,[101248.0],[3279500.0],[0.0],[140210.0],[2058000.0],[419944.0],[19845.0],[0.0],[0.0],[0.0],[84000.0],[30800.0],[2142.0],[0.0],[36400.0],[61740.0],[350.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['El Dorado'],2020-06-10 to 2020-06-16,1,[3372.0],[259000.0],[157500.0],[29120.0],[364000.0],[87780.0],[11872.0],[0.0],[126000.0],[0.0],[21000.0],[19600.0],[0.0],[0.0],[0.0],[70560.0],[350.0],[0.0],[2800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Glenn'],2020-06-10 to 2020-06-16,1,[2100.0],[72800.0],[0.0],[13650.0],[294000.0],[39000.0],[84.0],[0.0],[0.0],[0.0],[5000.0],[800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1750.0],[0.0],[0.0],[0.0],
['Tehama'],2020-06-10 to 2020-06-16,1,[0.0],[168000.0],[0.0],[7700.0],[7000.0],[27600.0],[0.0],[14000.0],[54824.0],[0.0],[3500.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Butte'],2020-06-10 to 2020-06-16,1,[53660.0],[665000.0],[128000.0],[269064.0],[27720.0],[494804.0],[31985.0],[0.0],[100831.0],[0.0],[53214.0],[44800.0],[427.0],[0.0],[18550.0],[0.0],[0.0],[0.0],[22876.0],[0.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Plumas'],2020-06-10 to 2020-06-16,1,[9800.0],[107000.0],[2000.0],[18200.0],[245000.0],[17640.0],[5712.0],[1400.0],[372.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[2814.0],[0.0],[5600.0],[0.0],[0.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Sierra'],2020-06-10 to 2020-06-16,1,[700.0],[21700.0],[3500.0],[12040.0],[18060.0],[5040.0],[1134.0],[0.0],[0.0],[0.0],[3500.0],[5600.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Kern'],2020-06-17 to 2020-06-23,2,[1842700.0],[2440000.0],[4301600.0],[2271890.0],[1281000.0],[4276118.0],[5727217.0],[0.0],[136872.0],[0.0],[230650.0],[259700.0],[4931.0],[0.0],[245000.0],[77000.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[539.0],[0.0],[0.0],[0.0],[0.0],
['Mariposa'],2020-06-17 to 2020-06-23,2,[7840.0],[638000.0],[22800.0],[11592.0],[0.0],[1680.0],[49056.0],[0.0],[0.0],[0.0],[35000.0],[7112.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Merced'],2020-06-17 to 2020-06-23,2,[65480.0],[2920000.0],[32960.0],[982550.0],[2072000.0],[246960.0],[3546.0],[0.0],[101052.0],[0.0],[202700.0],[114712.0],[644.0],[7000.0],[0.0],[35280.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[2800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Mono'],2020-06-17 to 2020-06-23,2,[8700.0],[481000.0],[24500.0],[19558.0],[501500.0],[308420.0],[32662.0],[0.0],[25900.0],[84.0],[28007.0],[350.0],[0.0],[5250.0],[30800.0],[20160.0],[378.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Napa'],2020-06-17 to 2020-06-23,2,[79744.0],[798000.0],[720320.0],[172480.0],[693000.0],[897428.0],[1179356.0],[7000.0],[110985.0],[0.0],[56000.0],[39200.0],[148.0],[0.0],[0.0],[61740.0],[0.0],[0.0],[23800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[36400.0],[0.0],[0.0],[0.0],
['Santa Barbara'],2020-06-17 to 2020-06-23,2,[68600.0],[2318400.0],[134060.0],[136192.0],[3046120.0],[9160480.0],[109236.0],[7056.0],[35.0],[0.0],[213000.0],[151112.0],[2635.0],[0.0],[0.0],[281260.0],[14294.0],[0.0],[21000.0],[0.0],[168.0],[0.0],[0.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],
['Sutter'],2020-06-17 to 2020-06-23,2,[4200.0],[217000.0],[3500.0],[16240.0],[0.0],[341320.0],[469.0],[0.0],[57064.0],[0.0],[19600.0],[11200.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Modoc'],2020-06-17 to 2020-06-23,2,[16800.0],[91000.0],[21120.0],[17000.0],[210000.0],[60760.0],[19266.0],[0.0],[142944.0],[0.0],[57400.0],[35350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Del Norte'],2020-06-17 to 2020-06-23,2,[39900.0],[1472000.0],[130620.0],[90152.0],[941400.0],[245170.0],[13796.0],[1272.0],[210504.0],[0.0],[43400.0],[12600.0],[0.0],[0.0],[0.0],[0.0],[10500.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[350.0],[0.0],[0.0],[0.0],
['Placer'],2020-06-17 to 2020-06-23,2,[102300.0],[6544000.0],[753500.0],[1047790.0],[1442000.0],[1935304.0],[447992.0],[0.0],[3128.0],[0.0],[294000.0],[175448.0],[101448.0],[0.0],[0.0],[853860.0],[700.0],[0.0],[85400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0],
['Trinity'],2020-06-17 to 2020-06-23,2,[26460.0],[234360.0],[38500.0],[28098.0],[238000.0],[162764.0],[1512.0],[0.0],[18200.0],[0.0],[28707.0],[20650.0],[0.0],[0.0],[0.0],[0.0],[126.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[5950.0],[0.0],[0.0],[0.0],
['Sacramento'],2020-06-17 to 2020-06-23,2,[1048528.0],[15459000.0],[2082340.0],[729990.0],[3158720.0],[4906265.0],[833237.0],[0.0],[59102.0],[2814.0],[273000.0],[268898.0],[10587.0],[2100.0],[0.0],[316120.0],[17500.0],[1500.0],[83300.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[143500.0],[0.0],[0.0],[0.0],
['San Benito'],2020-06-17 to 2020-06-23,2,[1400.0],[1109000.0],[0.0],[32620.0],[420000.0],[1128910.0],[5852.0],[0.0],[252.0],[0.0],[40000.0],[6400.0],[56.0],[0.0],[0.0],[56280.0],[875.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],
['Yuba'],2020-06-17 to 2020-06-23,2,[5180.0],[1330000.0],[17500.0],[34706.0],[315000.0],[55160.0],[77294.0],[0.0],[55124.0],[0.0],[49014.0],[25900.0],[151.0],[0.0],[2800.0],[0.0],[476.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],
